Epoch,Train Loss,Train Accuracy,Total Dice,Total Recall,Total F1 Score,WT Dice,WT Prec,WT Recall,WT F1,WT Spec,WT Boundary DICE,TC Dice,TC Prec,TC Recall,TC F1,TC Spec,TC Boundary DICE,ET Dice,ET Prec,ET Recall,ET F1,ET Spec,ET Boundary DICE,Val_Loss,Val_Acc
77,0.1605,0.9981,0.8046,0.8162,0.8046,0.7469,0.7896,0.7553,0.7469,0.9998,0.5784,0.8584,0.8526,0.8725,0.8584,0.9993,0.6254,0.8087,0.811,0.8208,0.8087,0.9997,0.7119,0.4972,0.9799
78,0.1656,0.998,0.7966,0.8084,0.7966,0.7349,0.7797,0.7426,0.7349,0.9998,0.5659,0.8521,0.8456,0.8681,0.8521,0.9992,0.6111,0.8027,0.8063,0.8146,0.8027,0.9997,0.6988,0.4602,0.9826
79,0.1549,0.9981,0.81,0.8191,0.81,0.7577,0.7987,0.7571,0.7577,0.9998,0.5983,0.8599,0.8543,0.8723,0.8599,0.9993,0.6266,0.8125,0.8103,0.8279,0.8125,0.9997,0.7197,0.4952,0.9796
80,0.1528,0.9981,0.8126,0.8192,0.8126,0.7616,0.8005,0.7587,0.7616,0.9998,0.6034,0.8634,0.8586,0.8755,0.8634,0.9993,0.6344,0.8126,0.8152,0.8235,0.8126,0.9997,0.7234,0.4636,0.9895
81,0.1532,0.9981,0.8113,0.8174,0.8113,0.7598,0.8004,0.7591,0.7598,0.9998,0.5975,0.8612,0.8572,0.8724,0.8612,0.9993,0.6299,0.813,0.8178,0.8206,0.813,0.9997,0.7219,0.5063,0.9788
82,0.1541,0.9981,0.809,0.8171,0.809,0.7591,0.8002,0.7563,0.7591,0.9998,0.5972,0.8588,0.8541,0.871,0.8588,0.9993,0.6242,0.8091,0.8099,0.8239,0.8091,0.9997,0.7154,0.4723,0.9865
83,0.1486,0.9981,0.8166,0.8212,0.8166,0.7689,0.8088,0.7596,0.7689,0.9998,0.6131,0.8632,0.8582,0.8749,0.8632,0.9993,0.6339,0.8178,0.8183,0.8291,0.8178,0.9997,0.7308,0.4862,0.9814
84,0.1526,0.9981,0.8098,0.8165,0.8098,0.7553,0.7987,0.7541,0.7553,0.9998,0.5939,0.861,0.8572,0.8719,0.861,0.9993,0.6295,0.813,0.8158,0.8236,0.813,0.9997,0.7212,0.4601,0.9854
85,0.151,0.9981,0.812,0.819,0.812,0.7606,0.8046,0.7584,0.7606,0.9998,0.6053,0.8604,0.8538,0.8737,0.8604,0.9993,0.6282,0.8148,0.8165,0.8248,0.8148,0.9997,0.728,0.475,0.9809
86,0.1488,0.9981,0.8144,0.8207,0.8144,0.7637,0.8078,0.7595,0.7637,0.9998,0.6082,0.8634,0.858,0.8758,0.8634,0.9993,0.6351,0.8161,0.818,0.8268,0.8161,0.9997,0.7297,0.5409,0.973
87,0.1464,0.9981,0.8188,0.8225,0.8176,0.7691,0.8132,0.7609,0.7691,0.9998,0.6137,0.8655,0.8613,0.8756,0.8655,0.9993,0.6389,0.8216,0.8153,0.8311,0.8182,0.9997,0.7302,0.4624,0.9858
88,0.1426,0.9982,0.8241,0.825,0.8218,0.778,0.811,0.768,0.7746,0.9998,0.6223,0.8691,0.8655,0.8776,0.8691,0.9993,0.6455,0.8252,0.8236,0.8296,0.8218,0.9998,0.7382,0.5175,0.9804
89,0.1416,0.9982,0.8228,0.8256,0.8228,0.7767,0.8147,0.7684,0.7767,0.9998,0.6259,0.8677,0.8623,0.8791,0.8677,0.9993,0.6429,0.824,0.8266,0.8294,0.824,0.9998,0.7433,0.4776,0.9792
90,0.1434,0.9982,0.8214,0.8226,0.8203,0.7758,0.8232,0.7578,0.7724,0.9998,0.6198,0.8657,0.8622,0.8765,0.8657,0.9993,0.6374,0.8228,0.8228,0.8336,0.8228,0.9997,0.7377,0.4897,0.9742
91,0.1429,0.9981,0.8204,0.8244,0.8204,0.7741,0.8142,0.7679,0.7741,0.9998,0.6214,0.865,0.861,0.875,0.865,0.9993,0.6374,0.822,0.8223,0.8304,0.822,0.9997,0.7384,0.5275,0.9607
92,0.1403,0.9982,0.8243,0.8264,0.8232,0.7812,0.8147,0.7692,0.7779,0.9998,0.6258,0.8687,0.8638,0.8786,0.8687,0.9993,0.6452,0.8231,0.8255,0.8313,0.8231,0.9998,0.7414,0.4863,0.9737
93,0.146,0.9981,0.8154,0.8184,0.8154,0.7701,0.818,0.7566,0.7701,0.9998,0.6159,0.859,0.8553,0.8708,0.859,0.9993,0.6276,0.8171,0.8201,0.8278,0.8171,0.9997,0.7313,0.4962,0.9833
94,0.1389,0.9982,0.8258,0.826,0.8246,0.7844,0.82,0.7689,0.781,0.9998,0.63,0.8682,0.8639,0.8785,0.8682,0.9993,0.6442,0.8247,0.8272,0.8305,0.8247,0.9998,0.7437,0.4997,0.9818
95,0.1361,0.9982,0.8292,0.8286,0.828,0.786,0.8252,0.7722,0.786,0.9998,0.6365,0.8721,0.8674,0.8816,0.8721,0.9993,0.6532,0.8293,0.8281,0.8319,0.8259,0.9998,0.7466,0.5686,0.9576
96,0.1339,0.9983,0.832,0.8307,0.8308,0.7943,0.8303,0.7746,0.7909,0.9998,0.6437,0.8732,0.8689,0.8824,0.8732,0.9993,0.6544,0.8284,0.8297,0.8352,0.8284,0.9998,0.751,0.4998,0.9782
97,0.1326,0.9983,0.8336,0.8308,0.8325,0.7975,0.8306,0.7759,0.7941,0.9998,0.6505,0.8742,0.8706,0.8816,0.8742,0.9993,0.655,0.8292,0.8309,0.8348,0.8292,0.9998,0.7531,0.5131,0.9771
98,0.131,0.9983,0.8363,0.832,0.834,0.797,0.8347,0.7758,0.7936,0.9998,0.6512,0.8752,0.8705,0.8835,0.8752,0.9993,0.6593,0.8368,0.8346,0.8369,0.8334,0.9998,0.7597,0.5165,0.9721
99,0.1308,0.9983,0.8355,0.8324,0.8344,0.7992,0.8343,0.7789,0.7958,0.9998,0.6522,0.8758,0.8722,0.8827,0.8758,0.9993,0.6591,0.8314,0.834,0.8355,0.8314,0.9998,0.7579,0.548,0.9666
100,0.1302,0.9983,0.836,0.8333,0.8349,0.8003,0.8339,0.7797,0.7969,0.9998,0.653,0.876,0.8727,0.8833,0.876,0.9994,0.6614,0.8316,0.8332,0.8369,0.8316,0.9998,0.7582,0.5083,0.9753
101,0.13,0.9983,0.8346,0.8332,0.8346,0.7945,0.8343,0.7785,0.7945,0.9998,0.6521,0.8776,0.8729,0.8851,0.8776,0.9994,0.6654,0.8317,0.8346,0.8361,0.8317,0.9998,0.7578,0.4678,0.9823
102,0.131,0.9983,0.8344,0.8325,0.8332,0.7969,0.8319,0.7787,0.7935,0.9998,0.6492,0.8768,0.8732,0.8844,0.8768,0.9994,0.6629,0.8294,0.833,0.8342,0.8294,0.9998,0.7535,0.4791,0.9806
103,0.1298,0.9983,0.8357,0.8334,0.8346,0.7985,0.8302,0.7801,0.7952,0.9998,0.6521,0.8772,0.8731,0.8844,0.8772,0.9994,0.6636,0.8313,0.8337,0.8357,0.8313,0.9998,0.7559,0.5313,0.9732
104,0.1329,0.9982,0.8311,0.83,0.83,0.7925,0.8286,0.7764,0.7891,0.9998,0.6428,0.8726,0.8684,0.8825,0.8726,0.9993,0.6517,0.8283,0.8342,0.831,0.8283,0.9998,0.7485,0.5738,0.9543
105,0.1301,0.9983,0.8348,0.8326,0.8337,0.7978,0.8328,0.7786,0.7944,0.9998,0.6528,0.8748,0.8714,0.8826,0.8748,0.9993,0.6581,0.8319,0.8345,0.8368,0.8319,0.9998,0.7591,0.4623,0.9834
106,0.1298,0.9983,0.8349,0.8322,0.8338,0.7978,0.8368,0.776,0.7944,0.9998,0.652,0.8768,0.8734,0.8838,0.8768,0.9994,0.6631,0.8302,0.8335,0.8368,0.8302,0.9998,0.7551,0.5079,0.9785
