epoch,train_loss,val_loss,train_acc,val_acc,total_dice,total_recall,total_f1_score,dice_wt,precision_wt,recall_wt,f1_wt,specificity_wt,boundary_dice_wt,dice_tc,precision_tc,recall_tc,f1_tc,specificity_tc,boundary_dice_tc,dice_et,precision_et,recall_et,f1_et,specificity_et,boundary_dice_et
81,0.4959,0.5883,0.9949,0.9888,0.4224,0.6006,0.4224,0.5956,0.6041,0.6581,0.5956,0.9995,0.4269,0.6803,0.6093,0.8639,0.6803,0.9967,0.3494,0.6962,0.6775,0.7975,0.6962,0.9993,0.546
82,0.481,0.5827,0.9956,0.9918,0.4956,0.6169,0.4956,0.6038,0.6304,0.6444,0.6038,0.9996,0.4333,0.7026,0.6225,0.8775,0.7026,0.9973,0.361,0.7064,0.6737,0.8095,0.7064,0.9993,0.5515
83,0.4756,0.5247,0.9958,0.986,0.4358,0.6549,0.4358,0.6187,0.6401,0.6668,0.6187,0.9996,0.445,0.7092,0.6354,0.8746,0.7092,0.9974,0.3726,0.7256,0.7122,0.7956,0.7256,0.9994,0.5734
84,0.4685,0.5431,0.996,0.9887,0.4657,0.6529,0.4657,0.6218,0.664,0.6493,0.6218,0.9996,0.4503,0.7132,0.6407,0.8757,0.7132,0.9975,0.3761,0.726,0.6964,0.8177,0.726,0.9994,0.5707
85,0.4576,0.5541,0.9961,0.9922,0.4739,0.5858,0.4704,0.6177,0.6533,0.6688,0.6177,0.9996,0.4432,0.7204,0.6477,0.8739,0.7204,0.9976,0.3833,0.7324,0.7158,0.7992,0.7324,0.9995,0.5839
86,0.451,0.5447,0.9961,0.9897,0.4738,0.6395,0.4703,0.6182,0.652,0.6652,0.6182,0.9996,0.4496,0.7255,0.6527,0.8754,0.7255,0.9976,0.3865,0.7264,0.702,0.8072,0.7264,0.9994,0.5791
87,0.4393,0.5296,0.9964,0.9934,0.5139,0.6416,0.5139,0.6383,0.6612,0.672,0.6383,0.9996,0.4708,0.7417,0.6746,0.8739,0.7417,0.9979,0.4153,0.7436,0.7147,0.8244,0.7436,0.9995,0.5989
88,0.4315,0.5303,0.9965,0.9885,0.4605,0.6459,0.4605,0.6401,0.6657,0.6767,0.6401,0.9997,0.4783,0.7437,0.6776,0.8734,0.7437,0.9979,0.4162,0.7437,0.7265,0.8168,0.7437,0.9995,0.6035
89,0.423,0.5511,0.9966,0.9892,0.4896,0.6404,0.4896,0.6407,0.6704,0.6827,0.6407,0.9997,0.4748,0.7481,0.6839,0.8741,0.7481,0.998,0.4257,0.7459,0.7284,0.8191,0.7459,0.9995,0.6052
90,0.4134,0.5164,0.9967,0.9917,0.51,0.6468,0.51,0.638,0.6633,0.6871,0.638,0.9996,0.479,0.7495,0.6939,0.8614,0.7495,0.9981,0.4319,0.7561,0.7327,0.8213,0.7561,0.9995,0.6138
