epoch,train_loss,val_loss,train_acc,val_acc,total_dice,total_recall,total_f1_score,dice_wt,precision_wt,recall_wt,f1_wt,specificity_wt,boundary_dice_wt,dice_tc,precision_tc,recall_tc,f1_tc,specificity_tc,boundary_dice_tc,dice_et,precision_et,recall_et,f1_et,specificity_et,boundary_dice_et
85,0.6978,0.7073,0.9928,0.9904,0.4552,0.6095,0.448,0.3238,0.3448,0.4154,0.3238,0.9978,0.1832,0.564,0.4683,0.8161,0.564,0.9947,0.253,0.4778,0.4383,0.5969,0.4563,0.9987,0.3784
86,0.6978,0.7074,0.9927,0.9903,0.455,0.6103,0.4479,0.3314,0.3546,0.4125,0.3314,0.998,0.1858,0.5588,0.46,0.8203,0.5588,0.9944,0.2498,0.4749,0.4364,0.598,0.4534,0.9985,0.3751
87,0.6978,0.7073,0.9927,0.9897,0.4523,0.6136,0.4452,0.3302,0.3489,0.42,0.3302,0.9979,0.1864,0.5509,0.4555,0.8331,0.5509,0.9937,0.238,0.4759,0.4457,0.5877,0.4544,0.9986,0.381
88,0.698,0.7071,0.9927,0.9908,0.4605,0.6074,0.4533,0.322,0.3538,0.4109,0.322,0.9979,0.1839,0.5761,0.474,0.836,0.5761,0.9947,0.2606,0.4833,0.4559,0.5754,0.4618,0.999,0.3888
89,0.6979,0.7091,0.9927,0.9887,0.4326,0.5986,0.429,0.3193,0.3402,0.4028,0.3193,0.9977,0.173,0.5278,0.4344,0.7898,0.5278,0.9937,0.234,0.4507,0.4187,0.6033,0.4399,0.998,0.3536
90,0.6978,0.708,0.9927,0.9897,0.4476,0.6077,0.4404,0.3161,0.3272,0.4174,0.3161,0.9975,0.1785,0.5528,0.4577,0.8087,0.5528,0.9945,0.2474,0.4738,0.4344,0.5971,0.4522,0.9984,0.3744
91,0.6979,0.7073,0.9927,0.9899,0.4503,0.6063,0.4467,0.3332,0.3602,0.418,0.3332,0.998,0.1845,0.5475,0.4483,0.8203,0.5475,0.9939,0.2388,0.4702,0.4542,0.5806,0.4595,0.9987,0.3839
92,0.6979,0.7073,0.9927,0.9906,0.4569,0.6064,0.4497,0.3225,0.3512,0.4081,0.3225,0.9979,0.1839,0.5682,0.4708,0.8224,0.5682,0.9947,0.2562,0.4799,0.4469,0.5886,0.4584,0.9988,0.3807
93,0.6979,0.7099,0.9927,0.989,0.4299,0.5971,0.4263,0.3179,0.3302,0.4175,0.3179,0.9973,0.1748,0.5316,0.4517,0.7608,0.5316,0.9948,0.2443,0.44,0.3915,0.6131,0.4293,0.9977,0.3454
94,0.6978,0.7084,0.9927,0.9888,0.4367,0.6109,0.4331,0.3231,0.3322,0.4251,0.3231,0.9974,0.1807,0.5361,0.4398,0.8017,0.5361,0.9939,0.2362,0.4509,0.4186,0.6059,0.4401,0.998,0.3632
95,0.698,0.7072,0.9927,0.991,0.4623,0.6051,0.4551,0.3305,0.3648,0.4129,0.3305,0.9981,0.1869,0.5733,0.4789,0.816,0.5733,0.995,0.2649,0.4832,0.4434,0.5864,0.4617,0.9988,0.3904
96,0.6979,0.7071,0.9928,0.9893,0.4526,0.6126,0.4454,0.3321,0.3524,0.4233,0.3321,0.9979,0.1853,0.5441,0.4383,0.8391,0.5441,0.9932,0.2337,0.4816,0.4593,0.5755,0.4601,0.9988,0.3887
